NAME,CATEGORY
UNITEMIZED EXPENSE,GENERAL OPERATIONS & SUPPLIES
VANTAGE PRESS,PRINTING
VENTURA MEDIA PARTNERS,MEDIA & ADS
VERIZON,UTILITIES
VICTORY ENTERPRISES,"PR, COMMUNICATIONS, & MARKETING"
VILLAGE INN,MEALS & CATERING
VIRTUS SOLUTIONS,CAMPAIGN CONSULTING
VISTAPRINT,PRINTING
VOTER RESEARCH LLC,POLLING & RESEARCH
WACHOVIA BANK,CREDIT CARD PAYMENT & BANK FEES
WALMART,GENERAL OPERATIONS & SUPPLIES
WATERFRONT STRATEGIES,MEDIA & ADS
WAWA,GENERAL OPERATIONS & SUPPLIES
WEBB PAYROLL SERVICES,SALARY & PAYROLL
WEBSTER BANK,CREDIT CARD PAYMENT & BANK FEES
WEEBLY,WEBSITE SERVICES
WEIGELS,GENERAL OPERATIONS & SUPPLIES
WELLS FARGO,CREDIT CARD PAYMENT & BANK FEES
WESTERN AMERICAN MAILERS,DIRECT MAIL
WHEELHOUSE CREATIVE,MEDIA & ADS
WILDFIRE CONTACT,CAMPAIGN CONSULTING
WILSON GRAND COMMUNICATIONS,MEDIA & ADS
WIN CREATIVE,"PR, COMMUNICATIONS, & MARKETING"
WIN RED,CREDIT CARD PROCESSING FEES
WINDSTREAM,UTILITIES
WINNING CONNECTIONS,CANVASSING & FIELD WORK
WINNING MARK,CAMPAIGN CONSULTING
WINNING STRATEGIES,CAMPAIGN CONSULTING
WINPOWER STRATEGIES,CAMPAIGN CONSULTING
WIX,WEBSITE SERVICES
WORDPLAY (VANTIV),CREDIT CARD PROCESSING FEES
WORDPRESS,WEBSITE SERVICES
WWP STRATEGIES,CAMPAIGN CONSULTING
YMCA,CONTRIBUTION & DONATION
ZERO WEEK SOLUTIONS,CAMPAIGN CONSULTING
ZIFT,SOFTWARE & TECHNOLOGY
ZOOM,SOFTWARE & TECHNOLOGY
STROTHER NUCKETS STRATEGIES,CAMPAIGN CONSULTING
AGENDA LLC,"PR, COMMUNICATIONS, & MARKETING"
FRY'S ELECTRONICS,SOFTWARE & TECHNOLOGY
